类别,#,坐标,态度成语,认知,情绪,行为,故事,子类成语,来源
,,"(+,+,-)",有心无力,知觉与注意,快乐,惩罚机制,敏锐捕捉，快乐，惩罚机制,临阵退缩,《元曲选》
,,,,知觉与注意,爱,惩罚机制,敏锐捕捉，爱，惩罚机制,投鼠忌器,《汉书》
,,,,知识表征,快乐,惩罚机制,准确判断，快乐，惩罚机制,心有余悸,清·李宝嘉
,,,,知识表征,爱,惩罚机制,准确判断，爱，惩罚机制,投鼠忌器,《汉书》
,,,,推理,快乐,惩罚机制,理性推演，快乐，惩罚机制,临渊羡鱼,《淮南子》
,,,,推理,爱,惩罚机制,理性推演，爱，惩罚机制,瞻前顾后,《楚辞》
,,"(+,0,+)",知行合一,知觉与注意,共情,奖励机制,敏锐捕捉，共情，奖励机制,顺水推舟,元·关汉卿
,,,,知觉与注意,共情,价值驱动,敏锐捕捉，共情，价值驱动,兼济天下,《孟子》
,,,,知识表征,共情,奖励机制,准确判断，共情，奖励机制,循名责实,《韩非子》
,,,,知识表征,共情,价值驱动,准确判断，共情，价值驱动,立德立言,《左传》
,,,,推理,共情,奖励机制,理性推演，共情，奖励机制,投其所好,《孟子》
,,,,推理,共情,价值驱动,理性推演，共情，价值驱动,兼善天下,《孟子》
,,"(+,0,0)",静观其变,知觉与注意,共情,道德驱动,敏锐捕捉，共情，道德驱动,不以为然,宋·苏轼
,,,,知识表征,共情,道德驱动,准确判断，共情，道德驱动,明辨笃行,《礼记》
,,,,知识表征,共情,文化习俗,准确判断，共情，文化习俗,入国问俗,《礼记》
,,,,推理,共情,道德驱动,理性推演，共情，道德驱动,义不容辞,《三国演义》
,,,,推理,共情,文化习俗,理性推演，共情，文化习俗,不置可否,清·吴敬梓
,,"(+,0,-)",望而生畏,知觉与注意,共情,惩罚机制,敏锐捕捉，共情，惩罚机制,全身而退,《孙子兵法》
,,,,知识表征,共情,惩罚机制,准确判断，共情，惩罚机制,趋利避害,《韩非子》
,,,,推理,共情,惩罚机制,理性推演，共情，惩罚机制,明哲保身,《诗经》
,,"(+,-,+)",忍辱负重,知觉与注意,愤怒,奖励机制,敏锐捕捉，愤怒，奖励机制,借题发挥,清·吴趼人
,,,,知觉与注意,愤怒,价值驱动,敏锐捕捉，愤怒，价值驱动,不平则鸣,唐·韩愈
,,,,知觉与注意,内疚,奖励机制,敏锐捕捉，内疚，奖励机制,愧不敢当,《后汉书》
,,,,知觉与注意,内疚,价值驱动,敏锐捕捉，内疚，价值驱动,改过迁善,《周易》
,,,,知觉与注意,焦虑,奖励机制,敏锐捕捉，焦虑，奖励机制,急功近利,《元曲选》
,,,,知觉与注意,焦虑,价值驱动,敏锐捕捉，焦虑，价值驱动,急流勇进,宋·释普济
,,,,知觉与注意,厌恶,价值驱动,敏锐捕捉，厌恶，价值驱动,嫉恶如仇,《后汉书》
,,,,知识表征,恐惧,奖励机制,准确判断，恐惧，奖励机制,铤而走险,《左传》
,,,,知识表征,恐惧,价值驱动,准确判断，恐惧，价值驱动,赴汤蹈火,《汉书》
,,,,知识表征,愤怒,奖励机制,准确判断，愤怒，奖励机制,据理力争,《魏书》
,,,,知识表征,愤怒,价值驱动,准确判断，愤怒，价值驱动,义愤填膺,《后汉书》
,,,,知识表征,内疚,奖励机制,准确判断，内疚，奖励机制,将功补过,《晋书》
,,,,知识表征,内疚,价值驱动,准确判断，内疚，价值驱动,赎罪立功,《史记》
,,,,知识表征,焦虑,奖励机制,准确判断，焦虑，奖励机制,按图索骥,《汉书》
,,,,知识表征,焦虑,价值驱动,准确判断，焦虑，价值驱动,临危不惧,《庄子》
,,,,知识表征,悲痛,奖励机制,准确判断，悲痛，奖励机制,苦中作乐,宋·陈造
,,,,知识表征,悲痛,价值驱动,准确判断，悲痛，价值驱动,哀兵必胜,《老子》
,,,,知识表征,厌恶,价值驱动,准确判断，厌恶，价值驱动,?,?
,,,,推理,愤怒,奖励机制,理性推演，愤怒，奖励机制,孤注一掷,《宋史》
,,,,推理,愤怒,价值驱动,理性推演，愤怒，价值驱动,奋不顾身,《汉书》
,,,,推理,内疚,奖励机制,理性推演，内疚，奖励机制,补过拾遗,《汉书》
,,,,推理,内疚,价值驱动,理性推演，内疚，价值驱动,戴罪立功,《后汉书》
,,,,推理,厌恶,价值驱动,理性推演，厌恶，价值驱动,?,?
,,"(+,-,0)",貌合神离,知觉与注意,愤怒,反射,敏锐捕捉，愤怒，反射,怒目切齿,《史记》
,,,,知觉与注意,愤怒,道德驱动,敏锐捕捉，愤怒，道德驱动,敢怒不敢言,唐·杜牧
,,,,知觉与注意,愤怒,文化习俗,敏锐捕捉，愤怒，文化习俗,?,?
,,,,知觉与注意,内疚,反射,敏锐捕捉，内疚，反射,面红耳赤,《朱子语类》
,,,,知觉与注意,内疚,道德驱动,敏锐捕捉，内疚，道德驱动,?,?
,,,,知觉与注意,内疚,文化习俗,敏锐捕捉，内疚，文化习俗,负荆请罪,《史记》
,,,,知觉与注意,焦虑,反射,敏锐捕捉，焦虑，反射,惊惶失措,《北齐书》
,,,,知觉与注意,焦虑,道德驱动,敏锐捕捉，焦虑，道德驱动,临危受命,《论语》
,,,,知觉与注意,焦虑,文化习俗,敏锐捕捉，焦虑，文化习俗,坐立不安,《三国演义》
,,,,知觉与注意,厌恶,反射,敏锐捕捉，厌恶，反射,掩鼻而过,《孟子》
,,,,知觉与注意,厌恶,道德驱动,敏锐捕捉，厌恶，道德驱动,嫉恶如仇,《后汉书》
,,,,知觉与注意,厌恶,文化习俗,敏锐捕捉，厌恶，文化习俗,避之若浼,《孟子》
,,,,知识表征,恐惧,反射,准确判断，恐惧，反射,视为畏途,《庄子》
,,,,知识表征,恐惧,道德驱动,准确判断，恐惧，道德驱动,临危不惧,《庄子》
,,,,知识表征,恐惧,文化习俗,准确判断，恐惧，文化习俗,讳疾忌医,《韩非子》
,,,,知识表征,愤怒,反射,准确判断，愤怒，反射,怒形于色,《三国演义》
,,,,知识表征,愤怒,道德驱动,准确判断，愤怒，道德驱动,义愤填膺,《后汉书》
,,,,知识表征,愤怒,文化习俗,准确判断，愤怒，文化习俗,义愤填膺,《后汉书》
,,,,知识表征,内疚,反射,准确判断，内疚，反射,羞愧满面,清·曹雪芹
,,,,知识表征,内疚,道德驱动,准确判断，内疚，道德驱动,闭门思过,《汉书》
,,,,知识表征,内疚,文化习俗,准确判断，内疚，文化习俗,负荆请罪,《史记》
,,,,知识表征,焦虑,反射,准确判断，焦虑，反射,心神不宁,《三国演义》
,,,,知识表征,焦虑,道德驱动,准确判断，焦虑，道德驱动,惴惴不安,《诗经》
,,,,知识表征,焦虑,文化习俗,准确判断，焦虑，文化习俗,随波逐流,《史记》
,,,,知识表征,悲痛,反射,准确判断，悲痛，反射,痛不欲生,《北齐书》
,,,,知识表征,悲痛,道德驱动,准确判断，悲痛，道德驱动,痛心疾首,《左传》
,,,,知识表征,悲痛,文化习俗,准确判断，悲痛，文化习俗,节哀顺变,《礼记》
,,,,知识表征,厌恶,反射,准确判断，厌恶，反射,不寒而栗,《史记》
,,,,知识表征,厌恶,道德驱动,准确判断，厌恶，道德驱动,嫉恶如仇,《后汉书》
,,,,知识表征,厌恶,文化习俗,准确判断，厌恶，文化习俗,逢场作戏,宋·释道原
,,,,推理,愤怒,反射,理性推演，愤怒，反射,怒发冲冠,《史记》
,,,,推理,愤怒,道德驱动,理性推演，愤怒，道德驱动,面不改色,元·秦简夫
,,,,推理,愤怒,文化习俗,理性推演，愤怒，文化习俗,以直报怨,《论语》
,,,,推理,内疚,反射,理性推演，内疚，反射,羞愧难当,清·曹雪芹
,,,,推理,内疚,道德驱动,理性推演，内疚，道德驱动,将功补过,《晋书》
,,,,推理,内疚,文化习俗,理性推演，内疚，文化习俗,负荆请罪,《史记》
,,,,推理,厌恶,反射,理性推演，厌恶，反射,不屑一顾,明·方孝孺
,,,,推理,厌恶,道德驱动,理性推演，厌恶，道德驱动,疾恶如仇,《晋书》
,,,,推理,厌恶,文化习俗,理性推演，厌恶，文化习俗,冷眼相待,《元曲选》
,,"(+,-,-)",知难而退,知觉与注意,愤怒,惩罚机制,敏锐捕捉，愤怒，惩罚机制,望而却步,明·吴承恩
,,,,知觉与注意,内疚,惩罚机制,敏锐捕捉，内疚，惩罚机制,?,?
,,,,知觉与注意,焦虑,惩罚机制,敏锐捕捉，焦虑，惩罚机制,望风而遁,《资治通鉴》
,,,,知觉与注意,厌恶,惩罚机制,敏锐捕捉，厌恶，惩罚机制,裹足不前,《史记》
,,,,知识表征,恐惧,惩罚机制,准确判断，恐惧，惩罚机制,视为畏途,《庄子》
,,,,知识表征,愤怒,惩罚机制,准确判断，愤怒，惩罚机制,洁身自好,《孟子》
,,,,知识表征,内疚,惩罚机制,准确判断，内疚，惩罚机制,悔过自新,《史记》
,,,,知识表征,焦虑,惩罚机制,准确判断，焦虑，惩罚机制,谨小慎微,《淮南子》
,,,,知识表征,悲痛,惩罚机制,准确判断，悲痛，惩罚机制,痛改前非,《元曲选》
,,,,知识表征,厌恶,惩罚机制,准确判断，厌恶，惩罚机制,视如敝屣,《孟子》
,,,,推理,愤怒,惩罚机制,理性推演，愤怒，惩罚机制,敢怒敢言,俗语
,,,,推理,内疚,惩罚机制,理性推演，内疚，惩罚机制,闭门思过,《汉书》
,,,,推理,厌恶,惩罚机制,理性推演，厌恶，惩罚机制,避重就轻,《旧唐书》
,,"(0,+,+)",感情用事,表象与语言,快乐,价值驱动,惯常描述，快乐，价值驱动,得意洋洋,《史记》
,,,,表象与语言,爱,价值驱动,惯常描述，爱，价值驱动,歌以咏志,《尚书》
,,"(0,+,0)",拭目以待,记忆,快乐,文化习俗,记忆中性，快乐，文化习俗,悠然神往,《晋书》
,,,,记忆,爱,文化习俗,记忆中性，爱，文化习俗,永结同心,《诗经》
,,"(0,+,-)",望而却步,表象与语言,快乐,惩罚机制,惯常描述，快乐，惩罚机制,欲言又止,清·文康
,,,,表象与语言,爱,惩罚机制,惯常描述，爱，惩罚机制,畏葸不前,《清史稿》
,,"(0,0,+)",顺势而为,表象与语言,共情,价值驱动,惯常描述，共情，价值驱动,言传身教,《后汉书》
,,"(0,0,0)",随遇而安,知觉与注意,共情,文化习俗,看到未深究，共情，文化习俗,静观默察,宋·程颢
,,,,记忆,共情,文化习俗,记忆中性，共情，文化习俗,泰然处之,《论语》
,,"(0,0,-)",置身事外,表象与语言,共情,惩罚机制,惯常描述，共情，惩罚机制,袖手旁观,宋·苏轼
,,"(0,-,+)",勉为其难,表象与语言,恐惧,奖励机制,惯常描述，恐惧，奖励机制,硬着头皮,俗语
,,,,表象与语言,愤怒,奖励机制,惯常描述，愤怒，奖励机制,愤然而起,《史记》
,,,,表象与语言,内疚,奖励机制,惯常描述，内疚，奖励机制,愧而受之,《后汉书》
,,,,表象与语言,焦虑,奖励机制,惯常描述，焦虑，奖励机制,困兽犹斗,《左传》
,,,,表象与语言,悲痛,奖励机制,惯常描述，悲痛，奖励机制,悲歌慷慨,《史记》
,,,,推理,恐惧,奖励机制,未深思考，恐惧，奖励机制,铤而走险,《左传》
,,,,推理,恐惧,价值驱动,未深思考，恐惧，价值驱动,背水一战,《史记》
,,,,推理,焦虑,奖励机制,未深思考，焦虑，奖励机制,铤而走险,《左传》
,,,,推理,焦虑,价值驱动,未深思考，焦虑，价值驱动,知难而进,《左传》
,,,,推理,悲痛,奖励机制,未深思考，悲痛，奖励机制,哀兵必胜,《老子》
,,,,推理,悲痛,价值驱动,未深思考，悲痛，价值驱动,死而后已,三国·诸葛亮
,,"(0,-,0)",冷眼旁观,表象与语言,恐惧,道德驱动,惯常描述，恐惧，道德驱动,责无旁贷,清·李宝嘉
,,,,表象与语言,恐惧,文化习俗,惯常描述，恐惧，文化习俗,战战兢兢,《诗经》
,,,,表象与语言,愤怒,道德驱动,惯常描述，愤怒，道德驱动,义正词严,《宋史》
,,,,表象与语言,愤怒,文化习俗,惯常描述，愤怒，文化习俗,指桑骂槐,《金瓶梅》
,,,,表象与语言,内疚,道德驱动,惯常描述，内疚，道德驱动,愧赧难言,俗语
,,,,表象与语言,内疚,文化习俗,惯常描述，内疚，文化习俗,负荆请罪,《史记》
,,,,表象与语言,焦虑,道德驱动,惯常描述，焦虑，道德驱动,苦口婆心,《宋史》
,,,,表象与语言,焦虑,文化习俗,惯常描述，焦虑，文化习俗,如履薄冰,《诗经》
,,,,表象与语言,悲痛,道德驱动,惯常描述，悲痛，道德驱动,长歌当哭,清·黄宗羲
,,,,表象与语言,悲痛,文化习俗,惯常描述，悲痛，文化习俗,节哀顺变,《礼记》
,,,,表象与语言,厌恶,道德驱动,惯常描述，厌恶，道德驱动,疾言厉色,《后汉书》
,,,,表象与语言,厌恶,文化习俗,惯常描述，厌恶，文化习俗,虚与委蛇,《庄子》
,,,,推理,恐惧,反射,未深思考，恐惧，反射,惊恐失色,《水浒传》
,,,,推理,恐惧,道德驱动,未深思考，恐惧，道德驱动,赴汤蹈火,《汉书》
,,,,推理,恐惧,文化习俗,未深思考，恐惧，文化习俗,未雨绸缪,《诗经》
,,,,推理,焦虑,反射,未深思考，焦虑，反射,忧心如捣,《诗经》
,,,,推理,焦虑,道德驱动,未深思考，焦虑，道德驱动,忧心如焚,《诗经》
,,,,推理,焦虑,文化习俗,未深思考，焦虑，文化习俗,忧心忡忡,《诗经》
,,,,推理,悲痛,反射,未深思考，悲痛，反射,肝肠寸断,《世说新语》
,,,,推理,悲痛,道德驱动,未深思考，悲痛，道德驱动,负重致远,《三国志》
,,,,推理,悲痛,文化习俗,未深思考，悲痛，文化习俗,慎终追远,《论语》
,,"(0,-,-)",避而远之,推理,恐惧,惩罚机制,未深思考，恐惧，惩罚机制,趋利避害,《韩非子》
,,,,推理,焦虑,惩罚机制,未深思考，焦虑，惩罚机制,畏首畏尾,《左传》
,,,,推理,悲痛,惩罚机制,未深思考，悲痛，惩罚机制,万念俱灰,清·李宝嘉
,,"(-,+,+)",自欺欺人,记忆,快乐,奖励机制,记忆扭曲，快乐，奖励机制,黄粱美梦,唐·沈既济
,,,,记忆,快乐,价值驱动,记忆扭曲，快乐，价值驱动,南辕北辙,《战国策》
,,,,记忆,爱,奖励机制,记忆扭曲，爱，奖励机制,?,?
,,,,记忆,爱,价值驱动,记忆扭曲，爱，价值驱动,一往情深,《世说新语》
,,,,表象与语言,快乐,奖励机制,扭曲定义，快乐，奖励机制,得意忘形,《晋书》
,,,,表象与语言,爱,奖励机制,扭曲定义，爱，奖励机制,自圆其说,清·李宝嘉
,,"(-,+,0)",将信将疑,记忆,快乐,道德驱动,记忆扭曲，快乐，道德驱动,乐道安贫,《后汉书》
,,,,记忆,爱,道德驱动,记忆扭曲，爱，道德驱动,自欺欺人,《朱子语类》
,,,,表象与语言,快乐,道德驱动,扭曲定义，快乐，道德驱动,语重心长,清·洛日生
,,,,表象与语言,快乐,文化习俗,扭曲定义，快乐，文化习俗,乐见其成,《史记》
,,,,表象与语言,爱,道德驱动,扭曲定义，爱，道德驱动,心照不宣,清·曾朴
,,,,表象与语言,爱,文化习俗,扭曲定义，爱，文化习俗,花言巧语,《西厢记》
,,"(-,+,-)",进退两难,记忆,快乐,惩罚机制,记忆扭曲，快乐，惩罚机制,患得患失,《论语》
,,,,记忆,爱,惩罚机制,记忆扭曲，爱，惩罚机制,一朝被蛇咬,俗语
,,"(-,0,+)",迫不得已,记忆,共情,奖励机制,记忆扭曲，共情，奖励机制,以己度人,《韩诗外传》
,,,,记忆,共情,价值驱动,记忆扭曲，共情，价值驱动,推己及人,《论语》
,,,,表象与语言,共情,奖励机制,扭曲定义，共情，奖励机制,言出必行,《论语》
,,"(-,0,0)",不以为然,记忆,共情,道德驱动,记忆扭曲，共情，道德驱动,推己及人,《论语》
,,,,表象与语言,共情,道德驱动,扭曲定义，共情，道德驱动,善解人意,《后汉书》
,,,,表象与语言,共情,文化习俗,扭曲定义，共情，文化习俗,安之若素,清·范寅
,,"(-,0,-)",敬而远之,记忆,共情,惩罚机制,记忆扭曲，共情，惩罚机制,不得已而为之,清·文康
,,"(-,-,+)",逆流而上,知觉与注意,恐惧,奖励机制,忽略信号，恐惧，奖励机制,虎口夺食,俗语
,,,,知觉与注意,恐惧,价值驱动,忽略信号，恐惧，价值驱动,视死如归,《吕氏春秋》
,,,,知觉与注意,悲痛,奖励机制,忽略信号，悲痛，奖励机制,?,?
,,,,知觉与注意,悲痛,价值驱动,忽略信号，悲痛，价值驱动,哀兵必胜,《老子》
,,,,记忆,恐惧,奖励机制,记忆扭曲，恐惧，奖励机制,虎口夺食,俗语
,,,,记忆,恐惧,价值驱动,记忆扭曲，恐惧，价值驱动,惊涛骇浪,唐·田颖
,,,,记忆,愤怒,奖励机制,记忆扭曲，愤怒，奖励机制,以牙还牙,《旧约》
,,,,记忆,愤怒,价值驱动,记忆扭曲，愤怒，价值驱动,不平则鸣,唐·韩愈
,,,,记忆,内疚,奖励机制,记忆扭曲，内疚，奖励机制,将功补过,《晋书》
,,,,记忆,内疚,价值驱动,记忆扭曲，内疚，价值驱动,改过自新,《史记》
,,,,记忆,焦虑,奖励机制,记忆扭曲，焦虑，奖励机制,瞻前顾后,《楚辞》
,,,,记忆,焦虑,价值驱动,记忆扭曲，焦虑，价值驱动,急流勇进,宋·释普济
,,,,记忆,悲痛,奖励机制,记忆扭曲，悲痛，奖励机制,苦尽甘来,元·关汉卿
,,,,记忆,悲痛,价值驱动,记忆扭曲，悲痛，价值驱动,?,?
,,,,记忆,厌恶,价值驱动,记忆扭曲，厌恶，价值驱动,?,?
,,,,表象与语言,恐惧,价值驱动,扭曲定义，恐惧，价值驱动,声泪俱下,《晋书》
,,,,表象与语言,愤怒,价值驱动,扭曲定义，愤怒，价值驱动,拍案而起,明·冯梦龙
,,,,表象与语言,内疚,价值驱动,扭曲定义，内疚，价值驱动,坦白从宽,俗语
,,,,表象与语言,焦虑,价值驱动,扭曲定义，焦虑，价值驱动,破釜沉舟,《史记》
,,,,表象与语言,悲痛,价值驱动,扭曲定义，悲痛，价值驱动,背水一战,《史记》
,,,,表象与语言,厌恶,价值驱动,扭曲定义，厌恶，价值驱动,口诛笔伐,明·王守仁
,,"(-,-,0)",黯然神伤,知觉与注意,恐惧,反射,忽略信号，恐惧，反射,噤若寒蝉,《后汉书》
,,,,知觉与注意,恐惧,道德驱动,忽略信号，恐惧，道德驱动,临危不惧,《庄子》
,,,,知觉与注意,恐惧,文化习俗,忽略信号，恐惧，文化习俗,畏天敬祖,《尚书》
,,,,知觉与注意,悲痛,反射,忽略信号，悲痛，反射,呆若木鸡,《庄子》
,,,,知觉与注意,悲痛,道德驱动,忽略信号，悲痛，道德驱动,恻隐之心,《孟子》
,,,,知觉与注意,悲痛,文化习俗,忽略信号，悲痛，文化习俗,触景生情,明·李贽
,,,,记忆,恐惧,反射,记忆扭曲，恐惧，反射,魂飞魄散,《左传》
,,,,记忆,恐惧,道德驱动,记忆扭曲，恐惧，道德驱动,临危受命,《论语》
,,,,记忆,恐惧,文化习俗,记忆扭曲，恐惧，文化习俗,前车可鉴,《汉书》
,,,,记忆,愤怒,反射,记忆扭曲，愤怒，反射,怒火中烧,《醒世恒言》
,,,,记忆,愤怒,道德驱动,记忆扭曲，愤怒，道德驱动,义愤填胸,《后汉书》
,,,,记忆,愤怒,文化习俗,记忆扭曲，愤怒，文化习俗,隐忍不发,《史记》
,,,,记忆,内疚,反射,记忆扭曲，内疚，反射,悔恨交加,《醒世恒言》
,,,,记忆,内疚,道德驱动,记忆扭曲，内疚，道德驱动,改过自新,《史记》
,,,,记忆,内疚,文化习俗,记忆扭曲，内疚，文化习俗,忏悔莫及,《法苑珠林》
,,,,记忆,焦虑,反射,记忆扭曲，焦虑，反射,惶恐不安,《汉书》
,,,,记忆,焦虑,道德驱动,记忆扭曲，焦虑，道德驱动,坐卧不宁,《三国演义》
,,,,记忆,焦虑,文化习俗,记忆扭曲，焦虑，文化习俗,诚惶诚恐,《后汉书》
,,,,记忆,悲痛,反射,记忆扭曲，悲痛，反射,悲从中来,《世说新语》
,,,,记忆,悲痛,道德驱动,记忆扭曲，悲痛，道德驱动,痛定思痛,唐·韩愈
,,,,记忆,悲痛,文化习俗,记忆扭曲，悲痛，文化习俗,慎终追远,《论语》
,,,,记忆,厌恶,反射,记忆扭曲，厌恶，反射,深恶痛绝,《孟子》
,,,,记忆,厌恶,道德驱动,记忆扭曲，厌恶，道德驱动,羞与为伍,《史记》
,,,,记忆,厌恶,文化习俗,记忆扭曲，厌恶，文化习俗,讳莫如深,《穀梁传》
,,,,表象与语言,恐惧,反射,扭曲定义，恐惧，反射,张口结舌,清·李宝嘉
,,,,表象与语言,愤怒,反射,扭曲定义，愤怒，反射,怒不可遏,《左传》
,,,,表象与语言,内疚,反射,扭曲定义，内疚，反射,吞吞吐吐,清·文康
,,,,表象与语言,焦虑,反射,扭曲定义，焦虑，反射,张口结舌,清·李宝嘉
,,,,表象与语言,悲痛,反射,扭曲定义，悲痛，反射,泣不成声,《汉书》
,,,,表象与语言,厌恶,反射,扭曲定义，厌恶，反射,万念俱灰,清·李宝嘉
,,"(-,-,-)",深恶痛绝,知觉与注意,恐惧,惩罚机制,忽略信号，恐惧，惩罚机制,知难而退,《左传》
,,,,知觉与注意,悲痛,惩罚机制,忽略信号，悲痛，惩罚机制,触景伤情,明·李贽
,,,,记忆,恐惧,惩罚机制,记忆扭曲，恐惧，惩罚机制,惊弓之鸟,《战国策》
,,,,记忆,愤怒,惩罚机制,记忆扭曲，愤怒，惩罚机制,惩忿窒欲,《易经》
,,,,记忆,内疚,惩罚机制,记忆扭曲，内疚，惩罚机制,悔过自新,《史记》
,,,,记忆,焦虑,惩罚机制,记忆扭曲，焦虑，惩罚机制,惊恐万状,《醒世恒言》
,,,,记忆,悲痛,惩罚机制,记忆扭曲，悲痛，惩罚机制,痛不欲生,《北齐书》
,,,,记忆,厌恶,惩罚机制,记忆扭曲，厌恶，惩罚机制,深恶痛疾,《孟子》
,,,,表象与语言,恐惧,惩罚机制,扭曲定义，恐惧，惩罚机制,讳莫如深,《穀梁传》
,,,,表象与语言,愤怒,惩罚机制,扭曲定义，愤怒，惩罚机制,怒不可遏,《左传》
,,,,表象与语言,内疚,惩罚机制,扭曲定义，内疚，惩罚机制,自怨自艾,《孟子》
,,,,表象与语言,焦虑,惩罚机制,扭曲定义，焦虑，惩罚机制,患得患失,《论语》
,,,,表象与语言,悲痛,惩罚机制,扭曲定义，悲痛，惩罚机制,如泣如诉,宋·苏轼
,,,,表象与语言,厌恶,惩罚机制,扭曲定义，厌恶，惩罚机制,含沙射影,唐·白居易
罕见,,,,,,,,,
,,,,知觉与注意,共情,反射,共情+反射:理解他人与自我保护自动化冲突,—,—
,,,,知觉与注意,快乐,反射,快乐/爱+反射:趋近情绪与自动回避矛盾,—,—
,,,,知觉与注意,爱,反射,快乐/爱+反射:趋近情绪与自动回避矛盾,—,—
,,,,知觉与注意,厌恶,奖励机制,厌恶+奖励:排斥对象与追求对象矛盾,—,—
,,,,记忆,共情,反射,共情+反射:理解他人与自我保护自动化冲突,—,—
,,,,记忆,快乐,反射,快乐/爱+反射:趋近情绪与自动回避矛盾,—,—
,,,,记忆,爱,反射,快乐/爱+反射:趋近情绪与自动回避矛盾,—,—
,,,,记忆,厌恶,奖励机制,厌恶+奖励:排斥对象与追求对象矛盾,—,—
,,,,知识表征,共情,反射,共情+反射:理解他人与自我保护自动化冲突,—,—
,,,,知识表征,快乐,反射,快乐/爱+反射:趋近情绪与自动回避矛盾,—,—
,,,,知识表征,爱,反射,快乐/爱+反射:趋近情绪与自动回避矛盾,—,—
,,,,知识表征,厌恶,奖励机制,厌恶+奖励:排斥对象与追求对象矛盾,—,—
,,,,表象与语言,共情,反射,共情+反射:理解他人与自我保护自动化冲突,—,—
,,,,表象与语言,快乐,反射,快乐/爱+反射:趋近情绪与自动回避矛盾,—,—
,,,,表象与语言,爱,反射,快乐/爱+反射:趋近情绪与自动回避矛盾,—,—
,,,,表象与语言,厌恶,奖励机制,厌恶+奖励:排斥对象与追求对象矛盾,—,—
,,,,推理,共情,反射,共情+反射:理解他人与自我保护自动化冲突,—,—
,,,,推理,快乐,反射,快乐/爱+反射:趋近情绪与自动回避矛盾,—,—
,,,,推理,爱,反射,快乐/爱+反射:趋近情绪与自动回避矛盾,—,—
,,,,推理,厌恶,奖励机制,厌恶+奖励:排斥对象与追求对象矛盾,—,—
